x,y,z,s,e
-634,-74,774,18:29:48,18:30:40
-605,-28,713,18:29:48,18:30:40
-564,-2,653,18:29:48,18:30:40
-517,-7,626,18:29:48,18:30:40
-509,-65,673,18:29:48,18:30:40
-575,-34,710,18:29:48,18:30:40
-674,98,750,18:29:48,18:30:40
-773,299,811,18:29:48,18:30:40
-789,495,945,18:29:48,18:30:40
-690,433,931,18:29:48,18:30:40
-600,385,845,18:29:48,18:30:40
-575,409,745,18:29:48,18:30:40
-604,491,693,18:29:48,18:30:40
-579,492,678,18:29:48,18:30:40
-561,517,615,18:29:48,18:30:40
-592,574,533,18:29:48,18:30:40
-715,595,489,18:29:48,18:30:40
-696,539,516,18:29:48,18:30:40
-618,501,535,18:29:48,18:30:40
-544,538,515,18:29:48,18:30:40
-610,560,507,18:29:48,18:30:40
-692,556,530,18:29:48,18:30:40
-755,555,580,18:29:48,18:30:40
-841,796,654,18:29:48,18:30:40
-838,948,659,18:29:48,18:30:40
-764,917,640,18:29:48,18:30:40
-583,390,516,18:29:48,18:30:40
-596,291,481,18:29:48,18:30:40
-659,421,514,18:29:48,18:30:40
-703,629,590,18:29:48,18:30:40
-678,742,653,18:29:48,18:30:40
-656,706,604,18:29:48,18:30:40
-624,698,538,18:29:48,18:30:40
-558,691,479,18:29:48,18:30:40
-380,553,381,18:29:48,18:30:40
-389,495,369,18:29:48,18:30:40
-504,497,426,18:29:48,18:30:40
-672,553,555,18:29:48,18:30:40
-902,561,877,18:29:48,18:30:40
-910,345,995,18:29:48,18:30:40
-848,47,1046,18:29:48,18:30:40
-752,-116,1000,18:29:48,18:30:40
-709,176,760,18:29:48,18:30:40
-782,266,728,18:29:48,18:30:40
-836,184,773,18:29:48,18:30:40
-782,102,823,18:29:48,18:30:40
-722,200,774,18:29:48,18:30:40
-656,263,689,18:29:48,18:30:40
-585,251,572,18:29:48,18:30:40
-565,275,335,18:29:48,18:30:40
-667,363,336,18:29:48,18:30:40
-793,399,460,18:29:48,18:30:40
-881,328,648,18:29:48,18:30:40
-947,381,818,18:29:48,18:30:40
-953,759,710,18:29:48,18:30:40
-908,1125,537,18:29:48,18:30:40
-806,1129,391,18:29:48,18:30:40
-650,345,337,18:29:48,18:30:40
-660,313,372,18:29:48,18:30:40
-689,634,400,18:29:48,18:30:40
-682,1095,432,18:29:48,18:30:40
-639,1014,424,18:29:48,18:30:40
-568,885,370,18:29:48,18:30:40
-481,772,287,18:29:48,18:30:40
-389,530,319,18:29:48,18:30:40
-440,504,488,18:29:48,18:30:40
-553,607,665,18:29:48,18:30:40
-707,718,776,18:29:48,18:30:40
-961,300,906,18:29:48,18:30:40
-952,-85,984,18:29:48,18:30:40
-856,-246,999,18:29:48,18:30:40
-764,-123,905,18:29:48,18:30:40
-820,106,670,18:29:48,18:30:40
-886,-12,692,18:29:48,18:30:40
-896,-123,779,18:29:48,18:30:40
-864,-123,849,18:29:48,18:30:40
-790,-30,814,18:29:48,18:30:40
-701,-17,726,18:29:48,18:30:40
-574,75,589,18:29:48,18:30:40
-550,534,276,18:29:48,18:30:40
-684,605,292,18:29:48,18:30:40
-787,454,483,18:29:48,18:30:40
-813,268,714,18:29:48,18:30:40
-906,595,770,18:29:48,18:30:40
-984,902,690,18:29:48,18:30:40
-961,928,653,18:29:48,18:30:40
-824,640,607,18:29:48,18:30:40
-638,234,379,18:29:48,18:30:40
-680,470,357,18:29:48,18:30:40
-728,783,444,18:29:48,18:30:40
-729,935,538,18:29:48,18:30:40
-657,848,478,18:29:48,18:30:40
-618,834,421,18:29:48,18:30:40
-549,795,434,18:29:48,18:30:40
-434,642,502,18:29:48,18:30:40
-261,283,585,18:29:48,18:30:40
-349,328,572,18:29:48,18:30:40
-552,493,589,18:29:48,18:30:40
-939,436,872,18:29:48,18:30:40
-990,87,1047,18:29:48,18:30:40
-938,-231,1118,18:29:48,18:30:40
-832,-303,1054,18:29:48,18:30:40
-725,39,810,18:29:48,18:30:40
-734,64,779,18:29:48,18:30:40
-714,-31,805,18:29:48,18:30:40
-663,-99,827,18:29:48,18:30:40
-651,6,696,18:29:48,18:30:40
-672,122,528,18:29:48,18:30:40
-652,309,338,18:29:48,18:30:40
-619,540,215,18:29:48,18:30:40
-692,520,407,18:29:48,18:30:40
-762,248,597,18:29:48,18:30:40
-823,150,692,18:29:48,18:30:40
-885,431,676,18:29:48,18:30:40
-926,1266,592,18:29:48,18:30:40
-835,1153,562,18:29:48,18:30:40
-721,709,500,18:29:48,18:30:40
-670,176,419,18:29:48,18:30:40
-695,329,477,18:29:48,18:30:40
-693,569,541,18:29:48,18:30:40
-667,773,543,18:29:48,18:30:40
-645,1098,434,18:29:48,18:30:40
-636,1179,415,18:29:48,18:30:40
-595,1112,416,18:29:48,18:30:40
-518,891,422,18:29:48,18:30:40
-363,391,512,18:29:48,18:30:40
-362,324,567,18:29:48,18:30:40
-436,415,579,18:29:48,18:30:40
-571,583,564,18:29:48,18:30:40
-873,667,741,18:29:48,18:30:40
-953,446,947,18:29:48,18:30:40
-960,125,1108,18:29:48,18:30:40
-922,-135,1132,18:29:48,18:30:40
-819,-54,892,18:29:48,18:30:40
-723,170,791,18:29:48,18:30:40
-587,304,737,18:29:48,18:30:40
-436,191,602,18:29:48,18:30:40
-515,185,461,18:29:48,18:30:40
-654,323,308,18:29:48,18:30:40
-758,508,237,18:29:48,18:30:40
-744,510,492,18:29:48,18:30:40
-755,398,642,18:29:48,18:30:40
-844,431,675,18:29:48,18:30:40
-951,669,617,18:29:48,18:30:40
-905,1053,509,18:29:48,18:30:40
-791,843,480,18:29:48,18:30:40
-728,494,440,18:29:48,18:30:40
-741,300,401,18:29:48,18:30:40
-783,639,402,18:29:48,18:30:40
-732,829,411,18:29:48,18:30:40
-668,890,401,18:29:48,18:30:40
-617,941,380,18:29:48,18:30:40
-597,1021,358,18:29:48,18:30:40
-546,1072,297,18:29:48,18:30:40
-463,1003,246,18:29:48,18:30:40
-298,485,469,18:29:48,18:30:40
-297,356,635,18:29:48,18:30:40
-386,507,668,18:29:48,18:30:40
-548,774,597,18:29:48,18:30:40
-915,520,757,18:29:48,18:30:40
-1026,56,988,18:29:48,18:30:40
-1063,-229,1104,18:29:48,18:30:40
-1037,-229,1048,18:29:48,18:30:40
-872,-90,834,18:29:48,18:30:40
-760,-139,790,18:29:48,18:30:40
-656,-141,742,18:29:48,18:30:40
-592,-50,677,18:29:48,18:30:40
-610,231,521,18:29:48,18:30:40
-654,441,388,18:29:48,18:30:40
-698,665,257,18:29:48,18:30:40
-736,603,393,18:29:48,18:30:40
-752,356,617,18:29:48,18:30:40
-818,282,755,18:29:48,18:30:40
-934,523,739,18:29:48,18:30:40
-994,1108,511,18:29:48,18:30:40
-869,933,434,18:29:48,18:30:40
-748,562,404,18:29:48,18:30:40
-712,346,408,18:29:48,18:30:40
-741,740,432,18:29:48,18:30:40
-688,924,420,18:29:48,18:30:40
-606,928,406,18:29:48,18:30:40
-547,890,409,18:29:48,18:30:40
-501,1005,400,18:29:48,18:30:40
-466,883,366,18:29:48,18:30:40
-429,543,382,18:29:48,18:30:40
-426,244,498,18:29:48,18:30:40
-554,712,722,18:29:48,18:30:40
-656,1096,667,18:29:48,18:30:40
-770,1066,625,18:29:48,18:30:40
-946,104,940,18:29:48,18:30:40
-933,-155,1064,18:29:48,18:30:40
-842,-151,1024,18:29:48,18:30:40
-726,-85,919,18:29:48,18:30:40
-653,-95,867,18:29:48,18:30:40
-654,-134,858,18:29:48,18:30:40
-707,1,686,18:29:48,18:30:40
-688,155,509,18:29:48,18:30:40
-687,358,322,18:29:48,18:30:40
-723,595,185,18:29:48,18:30:40
-754,751,177,18:29:48,18:30:40
-753,457,540,18:29:48,18:30:40
-819,345,701,18:29:48,18:30:40
-901,581,750,18:29:48,18:30:40
-904,1007,723,18:29:48,18:30:40
-808,1180,662,18:29:48,18:30:40
-701,867,571,18:29:48,18:30:40
-669,355,456,18:29:48,18:30:40
-704,134,366,18:29:48,18:30:40
-714,691,406,18:29:48,18:30:40
-670,842,460,18:29:48,18:30:40
-640,789,489,18:29:48,18:30:40
-629,740,517,18:29:48,18:30:40
-612,819,564,18:29:48,18:30:40
-580,945,589,18:29:48,18:30:40
-546,955,539,18:29:48,18:30:40
-463,515,388,18:29:48,18:30:40
-398,368,454,18:29:48,18:30:40
-348,460,572,18:29:48,18:30:40
-350,688,606,18:29:48,18:30:40
-423,837,529,18:29:48,18:30:40
-553,810,470,18:29:48,18:30:40
-707,678,580,18:29:48,18:30:40
-893,264,1128,18:29:48,18:30:40
-885,-1,1225,18:29:48,18:30:40
-847,-135,1112,18:29:48,18:30:40
-798,-44,902,18:29:48,18:30:40
-720,157,740,18:29:48,18:30:40
-610,276,673,18:29:48,18:30:40
-512,261,507,18:29:48,18:30:40
-618,351,347,18:29:48,18:30:40
-765,514,267,18:29:48,18:30:40
-844,624,344,18:29:48,18:30:40
-808,596,507,18:29:48,18:30:40
-723,465,625,18:29:48,18:30:40
-708,369,654,18:29:48,18:30:40
-937,748,691,18:29:48,18:30:40
-965,1086,706,18:29:48,18:30:40
-859,1194,632,18:29:48,18:30:40
-714,938,483,18:29:48,18:30:40
-647,496,357,18:29:48,18:30:40
-672,203,337,18:29:48,18:30:40
-712,229,411,18:29:48,18:30:40
-702,452,501,18:29:48,18:30:40
-636,736,533,18:29:48,18:30:40
-637,788,507,18:29:48,18:30:40
-634,907,490,18:29:48,18:30:40
-609,1089,476,18:29:48,18:30:40
-571,1210,440,18:29:48,18:30:40
-528,1133,369,18:29:48,18:30:40
-476,847,299,18:29:48,18:30:40
-353,356,415,18:29:48,18:30:40
-342,477,544,18:29:48,18:30:40
-424,753,568,18:29:48,18:30:40
-615,928,497,18:29:48,18:30:40
-865,826,502,18:29:48,18:30:40
-1073,484,720,18:29:48,18:30:40
-1154,106,1056,18:29:48,18:30:40
-942,-170,1196,18:29:48,18:30:40
-767,-113,971,18:29:48,18:30:40
-619,-35,776,18:29:48,18:30:40
-528,27,685,18:29:48,18:30:40
-516,78,636,18:29:48,18:30:40
-582,146,552,18:29:48,18:30:40
-781,486,344,18:29:48,18:30:40
-791,675,333,18:29:48,18:30:40
-743,722,416,18:29:48,18:30:40
-720,600,552,18:29:48,18:30:40
-781,465,661,18:29:48,18:30:40
-884,526,680,18:29:48,18:30:40
-922,807,621,18:29:48,18:30:40
-850,1058,549,18:29:48,18:30:40
