x,y,z,s,e
-682,-314,671,18:01:58,18:02:50
-683,-285,674,18:01:58,18:02:50
-689,-290,672,18:01:58,18:02:50
-681,-298,690,18:01:58,18:02:50
-656,-285,736,18:01:58,18:02:50
-630,-220,809,18:01:58,18:02:50
-664,-204,771,18:01:58,18:02:50
-714,-178,693,18:01:58,18:02:50
-751,7,600,18:01:58,18:02:50
-745,128,597,18:01:58,18:02:50
-752,223,574,18:01:58,18:02:50
-777,302,517,18:01:58,18:02:50
-828,486,414,18:01:58,18:02:50
-840,526,428,18:01:58,18:02:50
-843,477,493,18:01:58,18:02:50
-823,371,597,18:01:58,18:02:50
-745,205,768,18:01:58,18:02:50
-755,141,748,18:01:58,18:02:50
-818,52,664,18:01:58,18:02:50
-902,-105,571,18:01:58,18:02:50
-814,-129,650,18:01:58,18:02:50
-646,-148,774,18:01:58,18:02:50
-470,-190,877,18:01:58,18:02:50
-307,-165,917,18:01:58,18:02:50
-291,1,909,18:01:58,18:02:50
-255,194,934,18:01:58,18:02:50
-188,285,998,18:01:58,18:02:50
-36,178,1084,18:01:58,18:02:50
9,237,1037,18:01:58,18:02:50
4,411,958,18:01:58,18:02:50
-192,567,837,18:01:58,18:02:50
-317,501,770,18:01:58,18:02:50
-415,515,665,18:01:58,18:02:50
-497,675,531,18:01:58,18:02:50
-712,1036,258,18:01:58,18:02:50
-832,1075,147,18:01:58,18:02:50
-914,1066,74,18:01:58,18:02:50
-919,1081,68,18:01:58,18:02:50
-662,1217,272,18:01:58,18:02:50
-498,1234,407,18:01:58,18:02:50
-402,1124,507,18:01:58,18:02:50
-368,592,669,18:01:58,18:02:50
-366,310,780,18:01:58,18:02:50
-406,64,859,18:01:58,18:02:50
-530,-145,842,18:01:58,18:02:50
-854,-367,641,18:01:58,18:02:50
-870,-331,667,18:01:58,18:02:50
-738,-214,830,18:01:58,18:02:50
-513,-60,1037,18:01:58,18:02:50
-113,252,1147,18:01:58,18:02:50
-11,426,1055,18:01:58,18:02:50
32,585,990,18:01:58,18:02:50
-48,627,1009,18:01:58,18:02:50
-142,595,949,18:01:58,18:02:50
-225,659,796,18:01:58,18:02:50
-367,865,466,18:01:58,18:02:50
-466,828,372,18:01:58,18:02:50
-569,755,296,18:01:58,18:02:50
-684,852,80,18:01:58,18:02:50
-677,1001,-58,18:01:58,18:02:50
-625,1144,-189,18:01:58,18:02:50
-542,1257,-281,18:01:58,18:02:50
-396,1331,-260,18:01:58,18:02:50
-354,1280,-151,18:01:58,18:02:50
-313,1186,-1,18:01:58,18:02:50
-257,873,392,18:01:58,18:02:50
-281,681,599,18:01:58,18:02:50
-350,531,740,18:01:58,18:02:50
-453,450,771,18:01:58,18:02:50
-662,317,670,18:01:58,18:02:50
-693,202,695,18:01:58,18:02:50
-652,108,812,18:01:58,18:02:50
-569,85,968,18:01:58,18:02:50
-416,258,1072,18:01:58,18:02:50
-342,419,962,18:01:58,18:02:50
-260,586,836,18:01:58,18:02:50
-180,697,815,18:01:58,18:02:50
-212,663,821,18:01:58,18:02:50
-261,684,729,18:01:58,18:02:50
-337,846,452,18:01:58,18:02:50
-377,840,417,18:01:58,18:02:50
-422,782,424,18:01:58,18:02:50
-454,749,404,18:01:58,18:02:50
-449,880,240,18:01:58,18:02:50
-449,987,130,18:01:58,18:02:50
-480,1065,0,18:01:58,18:02:50
-583,1093,-245,18:01:58,18:02:50
-581,1096,-271,18:01:58,18:02:50
-518,1127,-221,18:01:58,18:02:50
-426,1162,-137,18:01:58,18:02:50
-301,1109,54,18:01:58,18:02:50
-292,1016,197,18:01:58,18:02:50
-324,882,370,18:01:58,18:02:50
-411,693,533,18:01:58,18:02:50
-706,253,689,18:01:58,18:02:50
-827,103,671,18:01:58,18:02:50
-886,-3,647,18:01:58,18:02:50
-801,-245,855,18:01:58,18:02:50
-645,-270,1043,18:01:58,18:02:50
-420,-84,1149,18:01:58,18:02:50
-184,270,1139,18:01:58,18:02:50
-8,582,1058,18:01:58,18:02:50
-103,347,1061,18:01:58,18:02:50
-228,132,1023,18:01:58,18:02:50
-316,187,910,18:01:58,18:02:50
-420,823,595,18:01:58,18:02:50
-504,981,440,18:01:58,18:02:50
-604,987,268,18:01:58,18:02:50
-771,973,-64,18:01:58,18:02:50
-790,1006,-126,18:01:58,18:02:50
-708,1080,-78,18:01:58,18:02:50
-520,1226,51,18:01:58,18:02:50
-189,1394,319,18:01:58,18:02:50
-201,1203,391,18:01:58,18:02:50
-299,915,436,18:01:58,18:02:50
-420,681,477,18:01:58,18:02:50
-686,474,547,18:01:58,18:02:50
-816,391,558,18:01:58,18:02:50
-902,289,564,18:01:58,18:02:50
-891,138,690,18:01:58,18:02:50
-745,180,861,18:01:58,18:02:50
-478,300,1076,18:01:58,18:02:50
-165,400,1253,18:01:58,18:02:50
63,288,1189,18:01:58,18:02:50
-77,229,988,18:01:58,18:02:50
-253,296,802,18:01:58,18:02:50
-458,590,634,18:01:58,18:02:50
-524,721,550,18:01:58,18:02:50
-613,875,387,18:01:58,18:02:50
-734,1017,175,18:01:58,18:02:50
-829,1062,52,18:01:58,18:02:50
-635,1119,243,18:01:58,18:02:50
-333,1279,459,18:01:58,18:02:50
-107,1392,553,18:01:58,18:02:50
-194,1029,427,18:01:58,18:02:50
-321,767,417,18:01:58,18:02:50
-407,611,483,18:01:58,18:02:50
-644,350,663,18:01:58,18:02:50
-778,178,738,18:01:58,18:02:50
-831,57,793,18:01:58,18:02:50
-795,24,809,18:01:58,18:02:50
-633,164,755,18:01:58,18:02:50
-506,284,798,18:01:58,18:02:50
-324,380,942,18:01:58,18:02:50
-133,389,1130,18:01:58,18:02:50
-8,172,1226,18:01:58,18:02:50
-94,155,1076,18:01:58,18:02:50
-220,301,879,18:01:58,18:02:50
-445,741,536,18:01:58,18:02:50
-512,863,393,18:01:58,18:02:50
-542,949,261,18:01:58,18:02:50
-548,1046,146,18:01:58,18:02:50
-525,1178,57,18:01:58,18:02:50
-464,1180,131,18:01:58,18:02:50
-380,1177,263,18:01:58,18:02:50
-322,1173,392,18:01:58,18:02:50
-325,1047,493,18:01:58,18:02:50
-326,911,513,18:01:58,18:02:50
-347,745,560,18:01:58,18:02:50
-442,559,626,18:01:58,18:02:50
-779,211,721,18:01:58,18:02:50
-864,151,733,18:01:58,18:02:50
-833,198,723,18:01:58,18:02:50
-707,302,704,18:01:58,18:02:50
-324,432,794,18:01:58,18:02:50
-170,431,934,18:01:58,18:02:50
-106,402,1060,18:01:58,18:02:50
-204,320,1041,18:01:58,18:02:50
-259,327,954,18:01:58,18:02:50
-285,407,893,18:01:58,18:02:50
-311,561,846,18:01:58,18:02:50
-450,932,587,18:01:58,18:02:50
-534,1044,347,18:01:58,18:02:50
-593,1042,106,18:01:58,18:02:50
-619,915,-42,18:01:58,18:02:50
-529,734,149,18:01:58,18:02:50
-421,947,365,18:01:58,18:02:50
-344,1219,483,18:01:58,18:02:50
-338,1281,481,18:01:58,18:02:50
-352,845,591,18:01:58,18:02:50
-306,732,831,18:01:58,18:02:50
-317,689,1050,18:01:58,18:02:50
-442,579,1100,18:01:58,18:02:50
-772,219,747,18:01:58,18:02:50
-825,78,601,18:01:58,18:02:50
-805,-54,585,18:01:58,18:02:50
-727,-128,650,18:01:58,18:02:50
-373,268,739,18:01:58,18:02:50
-169,608,767,18:01:58,18:02:50
-48,796,833,18:01:58,18:02:50
-39,770,908,18:01:58,18:02:50
-167,540,815,18:01:58,18:02:50
-230,600,640,18:01:58,18:02:50
-313,777,470,18:01:58,18:02:50
-550,1041,214,18:01:58,18:02:50
-615,1060,72,18:01:58,18:02:50
-610,1078,-48,18:01:58,18:02:50
-567,1110,-70,18:01:58,18:02:50
-493,1161,199,18:01:58,18:02:50
-446,1203,316,18:01:58,18:02:50
-375,1225,340,18:01:58,18:02:50
-306,1150,335,18:01:58,18:02:50
-377,715,508,18:01:58,18:02:50
-527,508,621,18:01:58,18:02:50
-676,359,666,18:01:58,18:02:50
-765,249,666,18:01:58,18:02:50
-753,220,709,18:01:58,18:02:50
-674,378,711,18:01:58,18:02:50
-549,606,659,18:01:58,18:02:50
-406,785,603,18:01:58,18:02:50
-245,717,708,18:01:58,18:02:50
-243,577,806,18:01:58,18:02:50
-243,500,832,18:01:58,18:02:50
-227,535,774,18:01:58,18:02:50
-241,824,553,18:01:58,18:02:50
-314,931,430,18:01:58,18:02:50
-409,947,291,18:01:58,18:02:50
-535,940,38,18:01:58,18:02:50
-547,1029,-23,18:01:58,18:02:50
-544,1115,-37,18:01:58,18:02:50
-535,1116,-19,18:01:58,18:02:50
-453,1014,61,18:01:58,18:02:50
-380,1069,100,18:01:58,18:02:50
-323,1147,129,18:01:58,18:02:50
-299,1142,160,18:01:58,18:02:50
-266,969,300,18:01:58,18:02:50
-268,938,403,18:01:58,18:02:50
-342,899,489,18:01:58,18:02:50
-492,777,527,18:01:58,18:02:50
-747,427,496,18:01:58,18:02:50
-759,336,483,18:01:58,18:02:50
-712,316,479,18:01:58,18:02:50
-619,359,487,18:01:58,18:02:50
-271,611,742,18:01:58,18:02:50
-100,682,999,18:01:58,18:02:50
-24,611,1201,18:01:58,18:02:50
-50,444,1256,18:01:58,18:02:50
-174,311,1093,18:01:58,18:02:50
-185,412,995,18:01:58,18:02:50
-186,541,868,18:01:58,18:02:50
-228,662,692,18:01:58,18:02:50
-481,871,315,18:01:58,18:02:50
-606,945,159,18:01:58,18:02:50
-665,1007,18,18:01:58,18:02:50
-602,1092,-100,18:01:58,18:02:50
-529,1053,-22,18:01:58,18:02:50
-445,1001,93,18:01:58,18:02:50
-359,1026,177,18:01:58,18:02:50
-260,1203,286,18:01:58,18:02:50
-287,1119,403,18:01:58,18:02:50
-361,896,553,18:01:58,18:02:50
-456,659,680,18:01:58,18:02:50
-605,427,724,18:01:58,18:02:50
-664,344,665,18:01:58,18:02:50
-734,210,609,18:01:58,18:02:50
-790,67,611,18:01:58,18:02:50
-588,143,834,18:01:58,18:02:50
-339,417,934,18:01:58,18:02:50
-138,708,942,18:01:58,18:02:50
-79,846,894,18:01:58,18:02:50
-249,534,896,18:01:58,18:02:50
-294,349,927,18:01:58,18:02:50
-268,330,905,18:01:58,18:02:50
-220,475,827,18:01:58,18:02:50
-262,838,626,18:01:58,18:02:50
-357,874,518,18:01:58,18:02:50
-453,823,407,18:01:58,18:02:50
-517,782,302,18:01:58,18:02:50
-550,948,138,18:01:58,18:02:50
-527,1080,84,18:01:58,18:02:50
-470,1148,59,18:01:58,18:02:50
-316,1104,61,18:01:58,18:02:50
-292,1101,53,18:01:58,18:02:50
-314,1139,45,18:01:58,18:02:50
-334,1165,64,18:01:58,18:02:50
-271,1037,255,18:01:58,18:02:50
-256,891,423,18:01:58,18:02:50
-316,692,597,18:01:58,18:02:50
-442,460,730,18:01:58,18:02:50
-701,149,782,18:01:58,18:02:50
-779,111,745,18:01:58,18:02:50
-811,95,722,18:01:58,18:02:50
-614,188,805,18:01:58,18:02:50
-371,371,903,18:01:58,18:02:50
-134,564,1012,18:01:58,18:02:50
-2,652,1099,18:01:58,18:02:50
-63,515,1093,18:01:58,18:02:50
-103,495,999,18:01:58,18:02:50
-104,591,870,18:01:58,18:02:50
-112,751,727,18:01:58,18:02:50
-292,900,455,18:01:58,18:02:50
-427,836,352,18:01:58,18:02:50
-537,764,271,18:01:58,18:02:50
-600,759,197,18:01:58,18:02:50
-577,938,15,18:01:58,18:02:50
-502,1038,-83,18:01:58,18:02:50
-415,1129,-161,18:01:58,18:02:50
-346,1223,-204,18:01:58,18:02:50
-299,1353,-169,18:01:58,18:02:50
-289,1297,-77,18:01:58,18:02:50
-286,1137,86,18:01:58,18:02:50
-406,710,484,18:01:58,18:02:50
-534,578,553,18:01:58,18:02:50
-651,535,501,18:01:58,18:02:50
-717,540,418,18:01:58,18:02:50
-718,503,479,18:01:58,18:02:50
-682,502,570,18:01:58,18:02:50
-607,586,621,18:01:58,18:02:50
-481,740,641,18:01:58,18:02:50
-178,891,719,18:01:58,18:02:50
-84,805,746,18:01:58,18:02:50
-49,683,731,18:01:58,18:02:50
-54,604,689,18:01:58,18:02:50
-124,696,559,18:01:58,18:02:50
-184,841,449,18:01:58,18:02:50
-257,985,304,18:01:58,18:02:50
-337,1073,146,18:01:58,18:02:50
-474,1131,-129,18:01:58,18:02:50
-499,1195,-224,18:01:58,18:02:50
-478,1268,-270,18:01:58,18:02:50
-332,1220,-215,18:01:58,18:02:50
-253,1134,-183,18:01:58,18:02:50
-190,1102,-189,18:01:58,18:02:50
-150,1128,-193,18:01:58,18:02:50
-223,1017,22,18:01:58,18:02:50
-363,824,205,18:01:58,18:02:50
-520,664,353,18:01:58,18:02:50
-644,662,542,18:01:58,18:02:50
-626,682,614,18:01:58,18:02:50
-603,641,627,18:01:58,18:02:50
-569,595,560,18:01:58,18:02:50
-342,700,461,18:01:58,18:02:50
-175,780,585,18:01:58,18:02:50
-46,805,784,18:01:58,18:02:50
3,781,941,18:01:58,18:02:50
-89,706,892,18:01:58,18:02:50
-159,720,759,18:01:58,18:02:50
-223,806,626,18:01:58,18:02:50
-293,942,495,18:01:58,18:02:50
-467,1080,182,18:01:58,18:02:50
-537,1038,36,18:01:58,18:02:50
-561,998,-54,18:01:58,18:02:50
-520,1008,-96,18:01:58,18:02:50
-287,1129,-166,18:01:58,18:02:50
-183,1175,-220,18:01:58,18:02:50
-155,1181,-251,18:01:58,18:02:50
-218,1135,-225,18:01:58,18:02:50
-530,881,-4,18:01:58,18:02:50
-701,735,134,18:01:58,18:02:50
-807,657,244,18:01:58,18:02:50
-712,774,317,18:01:58,18:02:50
-623,833,317,18:01:58,18:02:50
-602,788,341,18:01:58,18:02:50
-621,664,420,18:01:58,18:02:50
-431,596,771,18:01:58,18:02:50
-231,709,958,18:01:58,18:02:50
-99,779,1050,18:01:58,18:02:50
-90,720,1008,18:01:58,18:02:50
-218,546,702,18:01:58,18:02:50
-248,640,603,18:01:58,18:02:50
-283,792,582,18:01:58,18:02:50
-358,865,599,18:01:58,18:02:50
-579,717,505,18:01:58,18:02:50
-662,671,354,18:01:58,18:02:50
-707,723,182,18:01:58,18:02:50
-712,841,44,18:01:58,18:02:50
-626,1035,-66,18:01:58,18:02:50
-573,1057,-108,18:01:58,18:02:50
-542,1071,-179,18:01:58,18:02:50
-562,1169,-282,18:01:58,18:02:50
-588,1174,-235,18:01:58,18:02:50
-597,1103,-132,18:01:58,18:02:50
-580,994,-17,18:01:58,18:02:50
-541,839,164,18:01:58,18:02:50
-558,789,215,18:01:58,18:02:50
-599,740,235,18:01:58,18:02:50
-650,689,243,18:01:58,18:02:50
-718,537,413,18:01:58,18:02:50
-652,500,614,18:01:58,18:02:50
-459,598,845,18:01:58,18:02:50
54,1005,1212,18:01:58,18:02:50
112,979,1282,18:01:58,18:02:50
1,733,1253,18:01:58,18:02:50
-148,449,1143,18:01:58,18:02:50
-158,446,841,18:01:58,18:02:50
-79,697,674,18:01:58,18:02:50
-43,964,473,18:01:58,18:02:50
-81,1156,256,18:01:58,18:02:50
-361,1122,12,18:01:58,18:02:50
-534,947,6,18:01:58,18:02:50
-639,840,7,18:01:58,18:02:50
-507,1208,-102,18:01:58,18:02:50
-379,1492,-191,18:01:58,18:02:50
-319,1582,-263,18:01:58,18:02:50
-333,1435,-282,18:01:58,18:02:50
-322,1065,-104,18:01:58,18:02:50
-279,1066,44,18:01:58,18:02:50
-310,1083,206,18:01:58,18:02:50
-449,992,396,18:01:58,18:02:50
-727,600,753,18:01:58,18:02:50
-692,531,801,18:01:58,18:02:50
-548,602,755,18:01:58,18:02:50
-373,734,689,18:01:58,18:02:50
-121,825,755,18:01:58,18:02:50
-46,736,875,18:01:58,18:02:50
1,600,983,18:01:58,18:02:50
10,472,1034,18:01:58,18:02:50
-75,428,961,18:01:58,18:02:50
-123,534,865,18:01:58,18:02:50
-163,682,733,18:01:58,18:02:50
-213,824,571,18:01:58,18:02:50
-350,977,293,18:01:58,18:02:50
-386,1001,216,18:01:58,18:02:50
-381,1033,151,18:01:58,18:02:50
-361,1101,65,18:01:58,18:02:50
-384,1314,-115,18:01:58,18:02:50
-409,1382,-164,18:01:58,18:02:50
-404,1389,-196,18:01:58,18:02:50
-299,1231,-230,18:01:58,18:02:50
-231,1103,-178,18:01:58,18:02:50
-180,963,-58,18:01:58,18:02:50
-182,818,106,18:01:58,18:02:50
-404,644,383,18:01:58,18:02:50
-536,696,453,18:01:58,18:02:50
-593,802,519,18:01:58,18:02:50
-497,857,741,18:01:58,18:02:50
-414,784,847,18:01:58,18:02:50
-322,704,933,18:01:58,18:02:50
-212,645,1030,18:01:58,18:02:50
-7,558,1203,18:01:58,18:02:50
20,498,1153,18:01:58,18:02:50
-6,440,1008,18:01:58,18:02:50
-56,436,847,18:01:58,18:02:50
-122,727,597,18:01:58,18:02:50
-151,937,439,18:01:58,18:02:50
-200,1073,258,18:01:58,18:02:50
-266,1097,122,18:01:58,18:02:50
-379,1033,122,18:01:58,18:02:50
-368,1104,154,18:01:58,18:02:50
-276,1263,101,18:01:58,18:02:50
-13,1501,-188,18:01:58,18:02:50
0,1418,-249,18:01:58,18:02:50
-67,1227,-197,18:01:58,18:02:50
-121,1040,-75,18:01:58,18:02:50
-111,896,247,18:01:58,18:02:50
-183,836,449,18:01:58,18:02:50
-340,704,659,18:01:58,18:02:50
-500,528,825,18:01:58,18:02:50
-510,365,939,18:01:58,18:02:50
-351,435,969,18:01:58,18:02:50
-166,523,1034,18:01:58,18:02:50
-24,556,1099,18:01:58,18:02:50
56,516,1022,18:01:58,18:02:50
34,558,907,18:01:58,18:02:50
-1,665,798,18:01:58,18:02:50
-49,796,695,18:01:58,18:02:50
-198,924,447,18:01:58,18:02:50
-287,906,342,18:01:58,18:02:50
-357,886,283,18:01:58,18:02:50
-395,898,260,18:01:58,18:02:50
-404,997,184,18:01:58,18:02:50
-389,1068,94,18:01:58,18:02:50
-339,1145,-4,18:01:58,18:02:50
-242,1192,-64,18:01:58,18:02:50
-54,1080,-20,18:01:58,18:02:50
-100,960,23,18:01:58,18:02:50
-275,854,62,18:01:58,18:02:50
-680,749,235,18:01:58,18:02:50
-686,776,357,18:01:58,18:02:50
-542,861,460,18:01:58,18:02:50
-369,954,532,18:01:58,18:02:50
-346,882,625,18:01:58,18:02:50
-439,730,715,18:01:58,18:02:50
-465,634,869,18:01:58,18:02:50
-380,675,1036,18:01:58,18:02:50
-62,897,1039,18:01:58,18:02:50
36,859,877,18:01:58,18:02:50
59,750,731,18:01:58,18:02:50
18,706,649,18:01:58,18:02:50
-150,921,504,18:01:58,18:02:50
-228,1014,382,18:01:58,18:02:50
-278,1028,262,18:01:58,18:02:50
-299,990,177,18:01:58,18:02:50
-357,883,86,18:01:58,18:02:50
-460,840,42,18:01:58,18:02:50
-591,825,5,18:01:58,18:02:50
-666,869,0,18:01:58,18:02:50
-470,1203,69,18:01:58,18:02:50
-343,1367,81,18:01:58,18:02:50
-330,1369,86,18:01:58,18:02:50
-512,904,257,18:01:58,18:02:50
-554,682,416,18:01:58,18:02:50
-552,580,547,18:01:58,18:02:50
-545,576,610,18:01:58,18:02:50
-563,666,615,18:01:58,18:02:50
-567,701,629,18:01:58,18:02:50
-546,703,683,18:01:58,18:02:50
-485,660,795,18:01:58,18:02:50
-236,516,1151,18:01:58,18:02:50
-112,501,1277,18:01:58,18:02:50
-43,526,1279,18:01:58,18:02:50
-23,552,1156,18:01:58,18:02:50
-4,633,812,18:01:58,18:02:50
-14,764,704,18:01:58,18:02:50
-89,912,643,18:01:58,18:02:50
-239,986,598,18:01:58,18:02:50
-556,860,473,18:01:58,18:02:50
-605,780,376,18:01:58,18:02:50
-563,755,262,18:01:58,18:02:50
-454,821,138,18:01:58,18:02:50
-186,1255,-92,18:01:58,18:02:50
-135,1417,-124,18:01:58,18:02:50
-174,1351,-41,18:01:58,18:02:50
-251,1100,139,18:01:58,18:02:50
-311,775,495,18:01:58,18:02:50
-357,800,574,18:01:58,18:02:50
-464,810,602,18:01:58,18:02:50
-653,682,635,18:01:58,18:02:50
-637,645,692,18:01:58,18:02:50
-558,647,813,18:01:58,18:02:50
-444,654,1013,18:01:58,18:02:50
-252,548,1424,18:01:58,18:02:50
-246,439,1423,18:01:58,18:02:50
-292,366,1234,18:01:58,18:02:50
-335,393,956,18:01:58,18:02:50
-295,688,570,18:01:58,18:02:50
-272,824,473,18:01:58,18:02:50
-303,872,381,18:01:58,18:02:50
-388,825,287,18:01:58,18:02:50
-560,702,98,18:01:58,18:02:50
-563,782,-35,18:01:58,18:02:50
-491,956,-193,18:01:58,18:02:50
-365,1147,-331,18:01:58,18:02:50
-160,1354,-434,18:01:58,18:02:50
-171,1343,-395,18:01:58,18:02:50
-246,1259,-282,18:01:58,18:02:50
-334,1122,-89,18:01:58,18:02:50
-491,844,359,18:01:58,18:02:50
-593,748,458,18:01:58,18:02:50
-693,671,448,18:01:58,18:02:50
-741,597,418,18:01:58,18:02:50
-588,516,686,18:01:58,18:02:50
-419,581,945,18:01:58,18:02:50
-244,714,1133,18:01:58,18:02:50
-84,855,1085,18:01:58,18:02:50
-134,754,960,18:01:58,18:02:50
-222,614,871,18:01:58,18:02:50
-291,546,824,18:01:58,18:02:50
-312,743,651,18:01:58,18:02:50
-327,901,473,18:01:58,18:02:50
-386,1003,283,18:01:58,18:02:50
-474,1007,131,18:01:58,18:02:50
-596,817,-55,18:01:58,18:02:50
-610,773,-149,18:01:58,18:02:50
-597,843,-247,18:01:58,18:02:50
-531,1019,-306,18:01:58,18:02:50
-248,1339,-198,18:01:58,18:02:50
